Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
CFH	gene	CFH	ESID Registry 20171117;Expert Review Green;GRID V2.0;Inherited complement deficiency v0.11;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Complement Deficiencies;Complement factor H deficiency, 609814;Infections, disseminated neisserial infections, atypical Hemolytic-uremic syndrome, preeclampsia, dense deposit disease				14978182;9312129;24722444;2966809;1701856;10803850;16612335;7742208		False	3	100;0;0	1.143	False		ENSG00000000971	ENSG00000000971	HGNC:4883													
CFHR1	gene	CFHR1	Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Complement Deficiencies;Age related macular degeneration;Atypical hemolytic uremic syndrome susceptibility;Older onset atypical hemolytic-uremic syndrome, disseminated neisserial infections				32086639;32048120		False	3	0;100;0	1.143	False		ENSG00000244414	ENSG00000244414	HGNC:4888													
CFHR2	gene	CFHR2	Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Complement Deficiencies;Age related macular degeneration;Atypical hemolytic uremic syndrome susceptibility;Older onset atypical hemolytic-uremic syndrome, disseminated neisserial infections				32086639;32048120		False	3	0;50;50	1.143	False		ENSG00000080910	ENSG00000080910	HGNC:4890													
CFHR3	gene	CFHR3	Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Complement Deficiencies;Age related macular degeneration;Atypical hemolytic uremic syndrome susceptibility;Older onset atypical hemolytic-uremic syndrome, disseminated neisserial infections				32086639;32048120		False	3	0;100;0	1.143	False		ENSG00000116785	ENSG00000116785	HGNC:16980													
CFHR4	gene	CFHR4	Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Complement Deficiencies;Age related macular degeneration;Atypical hemolytic uremic syndrome susceptibility;Older onset atypical hemolytic-uremic syndrome, disseminated neisserial infections				32086639;32048120		False	3	0;100;0	1.143	False		ENSG00000134365	ENSG00000134365	HGNC:16979													
CFHR5	gene	CFHR5	Expert Review Green;GRID V2.0;IUIS Classification December 2019;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Atypical hemolytic-uremic syndrome with anti-factor H antibodies;Atypical hemolytic uremic syndrome susceptibility;Nephropathy due to CFHR5 deficiency, 614809;Complement Deficiencies;Older onset atypical hemolytic-uremic syndrome, disseminated neisserial infections				28673452;20800271;32086639;22503529;32048120		False	3	0;100;0	1.143	False		ENSG00000134389	ENSG00000134389	HGNC:24668													
CFI	gene	CFI	ESID Registry 20171117;Expert Review Green;GRID V2.0;Inherited complement deficiency v0.11;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BOTH monoallelic and biallelic, autosomal or pseudoautosomal	{Macular degeneration, age-related, 13, susceptibility to}, 615439;Complement factor I deficiency;Factor I deficiency;{Hemolytic uremic syndrome, atypical, susceptibility to, 3}, 612923;Infections, disseminated neisserial infections, atypical Hemolytic-uremic syndrome, preeclampsia;Complement Deficiencies;Immunodeficiency with factor I anomaly;C3b inactivator deficiency;Complement factor I deficiency, 610984				18374984;24142231;22710145;19065647;8613545;12562389;27091480;3897024;21316765;25988862		False	3	100;0;0	1.143	False		ENSG00000205403	ENSG00000205403	HGNC:5394													
CFP	gene	CFP	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Neisserial infections;Complement Deficiencies;Properdin deficiency;Properdin P factor complement deficiency (PFC)				22229731;10909851;8530058;7151327;6903190		False	3	100;0;0	1.143	False		ENSG00000126759	ENSG00000126759	HGNC:8864													
CFTR	gene	CFTR	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Congenital defects of phagocyte number or function;Cystic fibrosis, 219700;Respiratory infections, pancreatic insufficiency, elevated sweat chloride				32086639;32048120		False	3	33;67;0	1.143	False		ENSG00000001626	ENSG00000001626	HGNC:1884													
CHD7	gene	CHD7	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	CHARGE syndrome, 214800;Coloboma, heart anomaly, choanal atresia, intellectual disability, genital and ear anomalies, CNS malformation, some are SCID-like and have low TRECs;Immunodeficiency;Combined immunodeficiencies with associated or syndromic features;COLOBOMA, HEART ANOMALY, CHOANAL ATRESIA, RETARDATION, GENITAL AND EAR ANOMALIES;Charge syndrome				15300250;29159871;25689927;20052490;18976358;19403480;26544072;19187738;29531775;26563674;21378379;22461308;18505430		False	3	100;0;0	1.143	False		ENSG00000171316	ENSG00000171316	HGNC:20626													
CIB1	gene	CIB1	Expert Review Green;IUIS Classification December 2019;OMIM	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	"Epidermodysplasia verruciformis 3	618267;Defects in intrinsic and innate immunity;CIB1 deficiency"				32086639;32048120;300068544		False	3	100;0;0	1.143	False		ENSG00000185043	ENSG00000185043	HGNC:16920													
CIITA	gene	CIITA	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	HLA class II deficiency;Combined immunodeficiency (MHC class II deficiency, bare lymphocyte syndrome);Immunodeficiencies affecting cellular and humoral immunity;Respiratory and gastrointestinal infections, liver/biliary tract disease;Bare lymphocyte syndrome, type II, complementation group A				8402893;11862382;9099848		False	3	100;0;0	1.143	False		ENSG00000179583	ENSG00000179583	HGNC:7067													
CLCN7	gene	CLCN7	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Defects in Intrinsic and Innate Immunity;Osteopetrosis with hypocalcemia, neurologic features				32086639;32048120		False	3	0;0;100	1.143	False		ENSG00000103249	ENSG00000103249	HGNC:2025													
CLPB	gene	CLPB	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Neurocognitive developmental aberrations, microcephaly, hypoglycemia, hypotonia, ataxia, seizures, cataracts, IUGR;Congenital defects of phagocyte number or function;3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia, 616271;3-methylglutaconic aciduria, type VII;3-methylglutaconic aciduria, type 7;Recurrent or severe infection				25650066;25597510;27891836;28687938;26916670;25597511		False	3	100;0;0	1.143	False		ENSG00000162129	ENSG00000162129	HGNC:30664													
COPA	gene	COPA	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	{Autoinflammation and autoimmunity, systemic, with immune dysregulation}, OMIM:616414				28956095;25894502;29137621		False	3	100;0;0	1.143	False		ENSG00000122218	ENSG00000122218	HGNC:2230													
CORO1A	gene	CORO1A	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Combined immunodeficiency;Immunodeficiency 8;hypogammaglobulinaemia, combined immunodeficiency;Coronin-1A deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Detectable thymus, EBV;Immunodeficiencies affecting cellular and humoral immunity;Omenn syndrome;Severe combined immunodeficiency (SCID)				23522482;18836449;19097825		False	3	100;0;0	1.143	False		ENSG00000102879	ENSG00000102879	HGNC:2252													
CR2	gene	CR2	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Recurrent infections;Lupus;Isolated IgG subclass deficiency;Immunodeficiency, common variable, 7;Common variable immunodeficiency disorders (CVID);hypogammaglobulinaemia;Predominantly Antibody Deficiencies;Immunodeficiency, common variable, 7, 614699				22035880;26325596		False	3	33;33;33	1.143	False		ENSG00000117322	ENSG00000117322	HGNC:2336													
CSF2RA	gene	CSF2RA	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Congenital pulmonary alveolar proteinosis;Alveolar proteinosis;Congenital defects of phagocyte number or function;Pulmonary alveolar proteinosis;hypersensitivity;Surfactant metabolism dysfunction, pulmonary 4,  300770				1972780;18955570;23632888;18955567		False	3	100;0;0	1.143	False		ENSG00000198223	ENSG00000198223	HGNC:2435													
CSF2RB	gene	CSF2RB	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Surfactant metabolism dysfunction, pulmonary, 5, 614370;Congenital defects of phagocyte number or function;Alveolar proteinosis				21205713;21075760;9410898		False	3	100;0;0	1.143	False		ENSG00000100368	ENSG00000100368	HGNC:2436													
CSF3R	gene	CSF3R	Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Congenital neutropenia;Congenital defects of phagocyte number or function;Neutropenia, severe congenital 7;N/A;Neutropenia, severe congenital, 7, autosomal recessive, 617014				24753537;29070147;19620628;26324699		False	3	80;0;20	1.143	False		ENSG00000119535	ENSG00000119535	HGNC:2439													
CTC1	gene	CTC1	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Combined immunodeficiencies with associated or syndromic features;Bone marrow failure;Intrauterine growth retardation, sparse graying hair, dystrophic nails, trilinear bone marrow failure, osteopenia, gastrointestinal hemorrhage due to vascular ectasia, retinal telangiectasia, intracranial calcification, abnormal telomeres;Cerebroretinal microangiopathy with calcifications and cysts, 612199				22267198;32086639;32048120		False	3	0;75;25	1.143	False		ENSG00000178971	ENSG00000178971	HGNC:26169													
CTLA4	gene	CTLA4	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Autoimmune lymphoproliferative syndrome, type V;interstitual lung disease;autoimmunity;lymphadenopathy;T cell lymphopenia;Combined immunodeficiency;Immune dysregulation;a broad range of autoimmune phenomena have been described along with polyclonal lymphocytic infiltrates. Susceptibility to infection and hypogammaglobulinaemia are not usually present in isolation;Diseases of Immune Dysregulation;Early-onset multi-organ autoimmune disease;Autoimmune lymphoproliferative syndrome, type V 616100;hypogammaglobulinaemia;enteropathy;Autoimmune cytopenias, enteropathy, interstitial lung disease, extra-lymphoid lymphocytic infiltration recurrent infections;CVID				25213377;25329329		False	3	100;0;0	1.143	False		ENSG00000163599	ENSG00000163599	HGNC:2505													
CTPS1	gene	CTPS1	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Recurrent/chronic bacterial and viral infections (EBV, VZV), EBV lymphoproliferation, B-cell non-Hodgkin lymphoma;Severe combined immunodeficiency due to CTPS1 deficiency;Immunodeficiency 24, 615897;Patients develop Epstein-Barr Virus (EBV) driven Hemophagocytic Lymphohistiocytosis (HLH );Diseases of Immune Dysregulation				9536098;24870241;27638562;26424649;17576681		False	3	100;0;0	1.143	False		ENSG00000171793	ENSG00000171793	HGNC:2519													
CTSC	gene	CTSC	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Severe periodontitis;Periodontitis, palmoplantar hyperkeratosis in some patients;Congenital defects of phagocyte number or function;Haim-Munk syndrome, 245010;palmoplantar keratoderma;Papillon-Lefevre syndrome, 245000				10593994;10662807;11106356		False	3	100;0;0	1.143	False		ENSG00000109861	ENSG00000109861	HGNC:2528													
CXCL8	gene	CXCL8	Expert list;Expert Review Green;OMIM	COVID-19 research		Viral research	Unknown					15585888;32161940;3244677		False	3	100;0;0	1.143	False		ENSG00000169429	ENSG00000169429	HGNC:6025													
CXCR4	gene	CXCR4	Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;Melbourne Genomics Health Alliance Immunology Flagship;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Myelokathexis, isolated;Warts hypogammaglobulinemia infections and myelokathexis (WHIM);WHIM syndrome, 193670;WHIM syndrome;Warts (HPV) infection, neutropenia, low B cell number, hypogammaglobulinemia;Defects in Intrinsic and Innate Immunity				12692554;15536153		False	3	100;0;0	1.143	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000121966	ENSG00000121966	HGNC:2561													
CYBA	gene	CYBA	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Chronic granulomatous disease (CGD);Congenital defects of phagocyte number or function;Infections, autoinflammatory phenotype;Chronic granulomatous disease, autosomal, due to deficiency of CYBA,233690				10759707;12073015;2243141;1415254;18422995		False	3	100;0;0	1.143	False		ENSG00000051523	ENSG00000051523	HGNC:2577													
CYBB	gene	CYBB	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	Chronic granulomatous disease, X-linked, 306400;Defects with susceptibility to mycobacterial infection (MSMD);Congenital defects of phagocyte number or function;Immunodeficiency 34, mycobacteriosis, X-linked, 300645;Chronic granulomatous disease (CGD);Isolated susceptibility to mycobacteria;Infections, autoinflammatory phenotype, IBD, McLeod phenotype in patients with deletions extending into the contiguous Kell locus;Defects in Intrinsic and Innate Immunity				1710153;2556453;17293536		False	3	100;0;0	1.143	False		ENSG00000165168	ENSG00000165168	HGNC:2578													
DAG1	gene	DAG1	Expert list;Expert Review Green;OMIM	COVID-19 research		Viral research	Unknown							False	3	100;0;0	1.143	False		ENSG00000173402	ENSG00000173402	HGNC:2666													
DBR1	gene	DBR1	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	DBR1 deficiency;Defects in intrinsic and innate immunity;HSE of the brainstem. Other viral infections of the brainstem				32086639;32048120		False	3	50;50;0	1.143	False		ENSG00000138231	ENSG00000138231	HGNC:15594													
DCLRE1B	gene	DCLRE1B	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Dyskeratosis congenita, autosomal recessive 8, OMIM:620133				20479256		False	3	100;0;0	1.143	False		ENSG00000118655	ENSG00000118655	HGNC:17641													
DCLRE1C	gene	DCLRE1C	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;SCID v1.6;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Severe combined immunodeficiency, Athabascan type, 602450;Severe combined immunodeficiency, Athabascan type;DCLRE1C (Artemis) deficiency;Combined immunodeficiency;Severe Combined Immunodeficiency With Sensitivity To Ionizing Radiation;Atypical Severe Combined Immunodeficiency (Atypical SCID);Immunodeficiencies affecting cellular and humoral immunity;Nl NK, radiation sensitive;T-B+ SCID;Omenn syndrome;Severe combined immunodeficiency (SCID);T-B- SCID						False	3	100;0;0	1.143	False		ENSG00000152457	ENSG00000152457	HGNC:17642													
DEF6	gene	DEF6	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	DEF6 deficiency;Enteropathy, hepatosplenomegaly, cardiomyopathy, recurrent infections;Diseases of Immune Dysregulation				32086639;31308374;32048120		False	3	50;50;0	1.143	False		ENSG00000023892	ENSG00000023892	HGNC:2760													
DICER1	gene	DICER1	Expert list;Expert Review Green;OMIM	COVID-19 research		Viral research	Unknown							False	3	100;0;0	1.143	False		ENSG00000100697	ENSG00000100697	HGNC:17098													
DKC1	gene	DKC1	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	X-LINKED: hemizygous mutation in males, biallelic mutations in females	Dyskeratosis congenita, X-linked 305000;Severe phenotype with DD and cerebellar hypoplasia;Hoyeraal-Hreidarsson Syndrome (HHS) may occur in some DKC patients;Combined immunodeficiencies with associated or syndromic features;Hoyeraal-Hreidarsson syndrome;Intrauterine growth retardation, microcephaly, nail dystrophy, sparse scalp hair and eyelashes, hyperpigmentation of skin, palmar hyperkeratosis, premalignant oral leukoplakia, pancytopenia, myelodysplasia, recurrent infections				9590285;10583221;10217077;9590276		False	3	100;0;0	1.143	False		ENSG00000130826	ENSG00000130826	HGNC:2890													
DNAJC21	gene	DNAJC21	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Bone marrow failure syndrome 3, 617052;Metaphyseal changes, short stature, developmental delay, pancreatic dysfunction, bone marrow failure;Shwachman-Diamond syndrome-like;Congenital defects of phagocyte number or function				27346687;29700810;28062395		False	3	75;25;0	1.143	False		ENSG00000168724	ENSG00000168724	HGNC:27030													
DNASE1L3	gene	DNASE1L3	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Systemic lupus erythematosus 16, 614420;Autoinflammatory Disorders;Diseases of Immune Dysregulation;familial early-onset SLE;Systemic lupus erythematosus, lupus nephritis, hypocomplementemic urticarial vasculitis				27821515;23666765;22019780;32086639;32048120		False	3	0;100;0	1.143	False		ENSG00000163687	ENSG00000163687	HGNC:2959													
DNASE2	gene	DNASE2	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Autoinflammatory-pancytopenia syndrome, OMIM:619858				29259162;31775019		False	3	75;25;0	1.143	False		ENSG00000105612	ENSG00000105612	HGNC:2960													
DNMT3B	gene	DNMT3B	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Facial dysmorphic features, developmental delay, macroglossia, bacterial/opportunistic infections, malabsorption, cytopenias, malignancies,  multiradial configurations of chromosomes 1, 9, 16;Immunodeficiency-centromeric instability-facial anomalies syndrome 1, 242860;Immunodeficiency centromeric instability facial anomalies syndrome (ICF);Immunodeficiency-centromeric instability-facial anomalies syndrome 1;Combined immunodeficiencies with associated or syndromic features				10647011		False	3	100;0;0	1.143	False		ENSG00000088305	ENSG00000088305	HGNC:2979													
DOCK2	gene	DOCK2	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Dock 2 deficiency, Immunodeficiency 40;Immunodeficiencies affecting cellular and humoral immunity;Immunodeficiency 40, 616433;Nl NK cells, but defective function. Poor interferon responses in hematopoietic and non-hematopoietic cells				28694805;26083206;29503648		False	3	100;0;0	1.143	False		ENSG00000134516	ENSG00000134516	HGNC:2988													
DOCK8	gene	DOCK8	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Hyper-IgE recurrent infection syndrome, autosomal recessive 243700;Combined immunodeficiency;Hyper-IgE recurrent infection syndrome, autosomal recessive;Hyper IgE syndrome (HIES);Immunodeficiencies affecting cellular and humoral immunity;Low NK cells with poor function, eosinophilia, recurrent infections, cutaneous viral, fungal and staphylococcal infections, severe atopy, cancer diathesis;Hyper-IgE recurrent infection syndrome;impaired T cell function, Atopy, cutaneous viral infections				25724123;19776401;20004785;25627830		False	3	100;0;0	1.143	False		ENSG00000107099	ENSG00000107099	HGNC:19191													
EFL1	gene	EFL1	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Congenital neutropenias;Congenital defects of phagocyte number or function;Shwachman-Diamond Syndrome, 617941				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000140598	ENSG00000140598	HGNC:25789													
EGFR	gene	EGFR	Expert list;Expert Review Green;OMIM	COVID-19 research		Viral research	Unknown					28390872;31616667;8523580;28404843;20844577		False	3	0;0;0	1.143	False		ENSG00000146648	ENSG00000146648	HGNC:3236													
ELANE	gene	ELANE	Congenital neutropaenia v1.22;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Congenital neutropenia;Susceptibility to MDS/leukemia, Severe congenital neutropenia or cyclic neutropenia;Neutropenia, cyclic, 162800;Cyclic neutropenia;Congenital defects of phagocyte number or function;Neutropenia, severe congenital 1;Neutropenia, severe congenital 1, autosomal dominant, 202700						False	3	100;0;0	1.143	False		ENSG00000197561	ENSG00000197561	HGNC:3309													
EPG5	gene	EPG5	Combined B and T cell defect v1.12;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Vici syndrome;Vici syndrome due to EPG5 deficiency;Vici syndrome, 242840;Agenesis of the corpus callosum, cataracts, cardiomyopathy, skin hypopigmentation,  intellectual disability, microcephaly, recurrent infections, chronic mucocutaneous candidiasis;Immunodeficiency with cleft lip/palate, cataract, hypopigmentation, and absent corpus callosum;syndromic phenotype (immunodeficiency variable);Combined immunodeficiencies with associated or syndromic features				23222957;23838600;25331754;26395118;23674064;26917586;28624465		False	3	100;0;0	1.143	False		ENSG00000152223	ENSG00000152223	HGNC:29331													
ERBIN	gene	ERBIN	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	ERBIN deficiency;Combined immunodeficiencies with associated or syndromic features;Recurrent respiratory infections, susceptibility to S. aureus, eczema, hyperextensible joints, scoliosis, arterial dilatation in some				28126831;32086639;32048120		False	3	50;50;0	1.143	False		ENSG00000112851	ENSG00000112851	HGNC:15842													
ERCC4	gene	ERCC4	Expert Review Green;IUIS Classification December 2019	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Fanconi anemia, complementation group Q, 615272;Bone marrow failure;Fanconi Anemia Type Q;Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage				32086639;32048120		False	3	100;0;0	1.143	False		ENSG00000175595	ENSG00000175595	HGNC:3436													
ERCC6L2	gene	ERCC6L2	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Bone marrow failure syndrome 2, 615715;Combined immunodeficiencies with associated or syndromic features;Facial dysmorphism, microcephaly, bone marrow failure				27185855;24507776		False	3	100;0;0	1.143	False		ENSG00000182150	ENSG00000182150	HGNC:26922													
EXTL3	gene	EXTL3	A- or hypo-gammaglobulinaemia v1.25;Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	Combined immunodeficiencies with associated or syndromic features;EXTL3 deficiency;Platyspondyly, kyphosis, variable skeletal dysplasias, developmental delay;Immunoskeletal dysplasia with neurodevelopmental abnormalities, 617425				28132690;28148688		False	3	100;0;0	1.143	False		ENSG00000012232	ENSG00000012232	HGNC:3518													
F12	gene	F12	Expert Review Green;GRID V2.0;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	COVID-19 research		Viral research	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Angioedema, hereditary, 3, OMIM:610618				17186468;16638441;19178938		False	3	100;0;0	1.143	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000131187	ENSG00000131187	HGNC:3530													
FAAP24	gene	FAAP24	Expert Review Green;IUIS Classification December 2019;IUIS Classification February 2018	COVID-19 research		Viral research	BIALLELIC, autosomal or pseudoautosomal	EBV infection-driven lymphoproliferative disease;Diseases of Immune Dysregulation				32086639;27473539;32048120		False	3	0;0;100	1.143	False		ENSG00000131944	ENSG00000131944	HGNC:28467													
